          indexname          |       columns       
-----------------------------+---------------------
 customer_full_name_idx      | (full_name)
 customer_phone_idx          | (phone)
 customer_pkey               | (customer_id)
 employee_pkey               | (employee_id)
 employee_work_email_key     | (work_email)
 inspection_date_idx         | (inspected_on)
 inspection_employee_idx     | (employee_id)
 inspection_order_idx        | (order_id)
 inspection_pkey             | (inspection_id)
 instrument_customer_idx     | (customer_id)
 instrument_inventory_no_key | (inventory_no)
 instrument_pkey             | (instrument_id)
 instrument_type_idx         | (type_id)
 instrument_type_name_key    | (name)
 instrument_type_pkey        | (type_id)
 order_work_pkey             | (order_id, line_no)
 work_employee_idx           | (employee_id)
 work_service_idx            | (service_id)
 work_status_idx             | (status)
 payment_order_idx           | (order_id)
 payment_paid_on_idx         | (paid_on)
 payment_pkey                | (payment_id)
 payment_receipt_no_key      | (receipt_no)
 order_instrument_idx        | (instrument_id)
 order_one_active_uq         | (instrument_id)
 order_status_due_idx        | (status, due_on)
 restoration_order_pkey      | (order_id)
 service_name_key            | (name)
 service_pkey                | (service_id)
(29 rows)

