table                 after     copy  md5
change_log               17       17  совпадает
customer                 10       10  совпадает
employee                  8        8  совпадает
inspection                8        8  совпадает
instrument                9        9  совпадает
instrument_type           8        8  совпадает
order_work               11       11  совпадает
payment                   9        9  совпадает
restoration_order         9        9  совпадает
service                   8        8  совпадает
