table                before    after  md5
change_log                9       17  ОТЛИЧАЕТСЯ
customer                  9       10  ОТЛИЧАЕТСЯ
employee                  8        8  совпадает
inspection                9        8  ОТЛИЧАЕТСЯ
instrument                9        9  совпадает
instrument_type           8        8  совпадает
order_work               11       11  ОТЛИЧАЕТСЯ
payment                   8        9  ОТЛИЧАЕТСЯ
restoration_order         9        9  ОТЛИЧАЕТСЯ
service                   8        8  ОТЛИЧАЕТСЯ
