table                before restored  md5
change_log                9        9  совпадает
customer                  9        9  совпадает
employee                  8        8  совпадает
inspection                9        9  совпадает
instrument                9        9  совпадает
instrument_type           8        8  совпадает
order_work               11       11  совпадает
payment                   8        8  совпадает
restoration_order         9        9  совпадает
service                   8        8  совпадает
